date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:03	77187/77187	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202019%2012:36:51%20GMT	http://themes.semicolonweb.com/html/canvas/index-corporate.html	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/index-corporate.html	(from )
11:54:03	115/115	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jan%202020%2004:54:00%20GMT	http://themes.semicolonweb.com/robots.txt		(from )
11:54:03	159902/159902	---MCZ	200	added ('OK')	text/css	etag:W/%225dfcd478-2e3ed%22	http://themes.semicolonweb.com/html/canvas/css/bootstrap.css	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/css/bootstrap.css	(from http://themes.semicolonweb.com/html/canvas/index-corporate.html)
11:54:06	231230/231230	---MCZ	200	added ('OK')	text/css	etag:W/%225dfb6ff6-387c4%22	http://themes.semicolonweb.com/html/canvas/style.css	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/style.css	(from http://themes.semicolonweb.com/html/canvas/index-corporate.html)
11:54:06	47711/47711	---MCZ	200	added ('OK')	text/css	etag:W/%225c7a822c-d6bc%22	http://themes.semicolonweb.com/html/canvas/css/dark.css	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/css/dark.css	(from http://themes.semicolonweb.com/html/canvas/index-corporate.html)
11:54:07	95206/95206	---MCZ	200	added ('OK')	text/css	etag:W/%225c5adb56-1bd6d%22	http://themes.semicolonweb.com/html/canvas/css/font-icons.css	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/css/font-icons.css	(from http://themes.semicolonweb.com/html/canvas/index-corporate.html)
11:54:07	60744/60744	---MCZ	200	added ('OK')	text/css	etag:W/%225dfcd477-13071%22	http://themes.semicolonweb.com/html/canvas/css/animate.css	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/css/animate.css	(from http://themes.semicolonweb.com/html/canvas/index-corporate.html)
11:54:08	5765/5765	---MCZ	200	added ('OK')	text/css	etag:W/%225c5adb48-1ca4%22	http://themes.semicolonweb.com/html/canvas/css/magnific-popup.css	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/css/magnific-popup.css	(from http://themes.semicolonweb.com/html/canvas/index-corporate.html)
11:54:08	36108/36108	---MCZ	200	added ('OK')	text/css	etag:W/%225c9ddadb-8d29%22	http://themes.semicolonweb.com/html/canvas/css/responsive.css	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/css/responsive.css	(from http://themes.semicolonweb.com/html/canvas/index-corporate.html)
11:54:09	29698/29698	---MCZ	200	added ('OK')	text/css	etag:W/%225c9dd8cc-7578%22	http://themes.semicolonweb.com/html/canvas/include/rs-plugin/css/settings.css	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/include/rs-plugin/css/settings.css	(from http://themes.semicolonweb.com/html/canvas/index-corporate.html)
11:54:09	104497/104497	---MCZ	200	added ('OK')	text/css	etag:W/%225c9dd8ca-23ca5%22	http://themes.semicolonweb.com/html/canvas/include/rs-plugin/css/layers.css	C:/My%20Web%20Sites/terserah/themes.semicolonweb.com/html/canvas/include/rs-plugin/css/layers.css	(from http://themes.semicolonweb.com/html/canvas/index-corporate.html)
